HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"Year Built",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
616,,Olive and Frank Lovett House,443-422-23,4244,St. James Place,San Diego,92103,Uptown,Mission Hills,9/25/03,C (Architecture),HRB# 822-62,Craftsaman,1913,,,,
617,,John Vance Cheney/Alice Barnett/Emmor Brooke Weaver House,443-611-13,1816,Sheridan Avenue,San Diego,92103,Uptown,Mission Hills,9/25/03,"B (Historic Person);C (Architecture);D (Master Architect)",,Craftsman/Swiss Chalet,1909,,John Vance Cheney; Alice Barnett,,
618,,Alexander Schreiber Spec House #1,443-422-12,4205,Arden Way,San Diego,92103,Uptown,Mission Hills,9/25/03,"C (Architecture);D (Master Builder)",,Prairie,1921,,,,
619,,Cora M. and Cora Lee Wells House,440-330-09,4990,Canterbury Drive,San Diego,92116,Kensington-Talmadge,Kensington,9/25/03,C (Architecture),,Spanish Eclectic,1927,,,,
620,,Henry Lang Spec House #1,539-343-09,1530,29th Street,San Diego,92102,Greater Golden Hill,,9/25/03,C (Architecture),,Craftsman,1911,,,,
621,,Barr-Rigdon-Robinson Spec House #1,443-450-07,4301,Hermosa Way,San Diego,92103,Uptown,,9/25/03,C (Architecture),,Craftsman,1910,,,,
622,,James and Caroline Whittlesey/Robert Farquhar House,352-010-09,7728,Lookout Drive,San Diego,92037,La Jolla,La Jolla,9/25/03,D (Master Architect),,French Eclectic,1937,,,,
623,,Louise Severin Spec Hosue #1,440-362-13,4185,Rochester Road,San Diego,92116,Kensington-Talmadge,Kensington,9/25/03,"C (Architecture);D (Master Architect/Builder)",,Spanish Eclectic,1929,,,,
624,,Esther Morrison House,357-253-01,715,La Canada,San Diego,92037,La Jolla,La Jolla,9/25/03,A (Cultural Landscape),,Spanish Eclectic/Monterey Style,1928,,,,
625,,"S.H. Newell, Jr. Spec House #1",443-251-24,2120,Hickory Street,San Diego,92103,Uptown,Mission Hills,9/25/03,C (Architecture),,Prairie,1916,,,,
626,,Hensley Family House,534-411-23,2692,E Street,San Diego,92102,Greater Golden Hill,,9/25/03,"A (Cultural Landscape);C (Architecture)",,Folk Victorian/Craftsman,1906,,,,
627,,Antoine and Jeanne Frey - Rear Admiral Francis Benson House,453-520-10,3117,28th Street,San Diego,92104,Greater North Park,,10/23/03,B (Historical Person),,Spanish Eclectic,1930,The Dennstedt Company - Builder,"Antoinne and Jeanne Frey;Rear Admiral Francis Benson",,
628,,Alice Clark House,450-339-06,3026,Freeman Street,San Diego,92106,Peninsula,Point Loma,10/23/03,"A (Cultural Landscape);B (Historical Person)",,Spanish Electic,1929,,Alice Clark,,
629,,Clarence Swenson/Richard Requa House,449-711-09,3610,Amaryllis Drive,San Diego,92106,Peninsula,Point Loma,10/23/03,"A (Cultural Landscape);C (Architecture);D (Master Architect)",,Spanish Eclectic,1926,"Richard Requa, Master Architect",,,
630,,Katharine Smith/Thomas Shepherd House,357-153-01,6019,Avenida Cresta,San Diego,92037,La Jolla,La Jolla,10/23/03,"C (Architecture);D (Master Architect)",,French Eclectic w/ Mediterranean influences,1929,,,,
631,,Lewis Dodge Spec House #1,448-452-21,4660,Tivoli Street,San Diego,92107,Peninsula,Sunset Cliffs,10/23/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1927,,,,
632,,Carter Hotel,535-373-01,1401,J Street,San Diego,92101,Centre City,East Village,10/23/03,A (Cultural Landscape),,Prairie with Craftsman and Mission Revivial influences,1913,,,,
633,,Designation Overturned,,,,,,,,,,,,,,,,
634,,Hotel Churchill,534-184-07,827,C Street,San Diego,92101,Centre City,Core,11/21/03,C (Architecture),,Edwardian Commercial,1914,,,,
635,,Waldorf Hotel/Plaza Hotel,533-525-03,1037-1041,Fourth Avenue,San Diego,92101,Centre City,Core,11/21/03,C (Architecture),,Chicago School and Art Deco,1906,,,,
636,,Lesinksy House,534-192-06,1130-1134,Eleventh Avenue,San Diego,92101,Centre City,Core,11/21/03,C (Architecture),,Victorian,1903-1904,,,,
637,,Rowe Market Building,534-184-01,801-819,C Street,San Diego,92101,Centre City,Core,11/21/03,"C (Architecture);D (Master Architect)",,Spanish Revival,1922,Lincoln Rodgers and Frank Stevenson,,,
638,,Mut kula xuy/Mut lah hoy ya Site #2,Not permitted to list,,,,,,,11/21/03,A (Archaeology),,,,,,,
639,,Myrtle Parker Swain House,351-270-24,247,Westbourne Street,San Diego,92037,La Jolla,La Jolla,11/21/03,C (Architecture),,Spanish Eclectic,1929,,,,
640,,Coronado Belt Line,none,,"Within the Area of Potential Effect for the Bayshore Bikeway Project, LDR 40-0378, extending 1.5 miles southeasterly of the intersection of Palomar Street and Bay Blvd",San Diego,"91911, 92154",Otay Mesa,,12/19/03,"A (Archaeology);B (Historical Person);C (Architecture)",,Railroad,1888,,,,
641,,Frances Apartments ,534-331-10,927-945 ,Broadway,San Diego,92101,Centre City,Core,1/22/04,C (Architecture),,Renaissance Revival ,1909,Pacific Building Company,,,P-03-348
642,,Kress Department Store ,553-522-04,428,C Street,San Diego,92101,Centre City,Core,1/22/04,"A (Business/History); D (Master Architect)",,Streamline Modern ,1941,Edward Sibbert,Edward Sibbert,,P-03-348
643,,Burnham Building ,534-186-14,619,C Street,San Diego,92101,Centre City,Core,1/22/04,C (Architecture),,Renaissance Revival ,1911,John Campbell,,,P-03-348
644,,Hamiltion Fine Foods ,534-181-07,640,C Street,San Diego,92101,Centre City,Core,1/22/04,"C (Architecture); D (Master Architect)",,Classical Revival,1928,Frank Allen,Frank Allen,,P-03-348
645,,YWCA Building,534-192-04,1012,C Street,San Diego,92101,Centre City,Core,1/22/04,"C (Architecture); D (Master Architect)",,Spanish Eclectic Revival,1925,C E Decker & Frank Stevenson,C EDecker & Frank Stevenson,,P-03-348
646,,First Baptist Church Annex,534-331-08,930,Tenth Avenue,San Diego,92101,Centre City,Core,1/22/04,C (Architecture),,Art Deco,1930,James S. Groves,,,P-03-348
647,,Elkins Apartments ,534-064-03,1229,Tenth Avenue,San Diego,92101,Centre City,Core,1/22/04,C (Architecture),,Prairie,1912,,,,P-03-348
648,,Jennie Gardiner Spec House #1,452-055-24,3812,Third Avenue,San Diego,92103,Uptown,Hillcrest,1/22/04,C (Architecture),,Craftsman,1910,,,,HRB-04-002
649,,Lola McAvoy Spec House #1,450-131-16,3414,Freeman Street,San Diego,92106,Peninsula,Point Loma,3/5/04,"A (Cultural Landscape); C (Architecture)",,Spanish Colonial Revival ,1933,,,,HRB-04-004
650,,James Wood Coffroth House ,450-142-04,3279,Homer Street,San Diego,92106,Peninsula,Point Loma,3/5/04,"A (Cultural Landscape); B (Historic Preson); C (Architecture)",,Prairie,1916,,James Wood Coffroth,,HRB-04-005
651,,Dr. Harry and Beryl Faulkner House,450-343-05,3003,Kingsley Street,San Diego,92106,Peninsula,Point Loma,3/5/04,"A (Cultural Landscape) C (Architecture)",,French Eclectic,1939,E H Depew/Depew Building Company,Dr. Harry R. Faulkner/Douglas Addison Faulkner  ,,HRB-04-006
652,,Colonel David and Sydney Roscoe House,450-339-05,2710,Rosecrans Street,San Diego,92106,Peninsula,Point Loma,3/5/04,A (Cultural Landscape),,Spanish Eclectic,1926,,,,HRB-04-007
653,,Southern Hotel ,534-181-01,611-617,B Street ,San Diego,92101,Centre City,Core,3/25/04,C (Architecture),,Beaux Arts Renaissance Revival,1912,J. M. Anderson,,,P-03-348
654,,Pacific Telephone & Telegraph,534-191-08,914,C Street,San Diego,92101,Centre City,Core,3/25/04,"A (Cultural Landscape); C (Architecture); D (Master Architecture)",,Italian Renaissance,1925-1929,John & Donald B. Parkinson,,,P-03-348
655,,Ed Fletcher Real Estate Office,534-184-05,1018,Ninth Avenue,San Diego,92101,Centre City,Core,3/25/04,B (Historical Person),,Mission Revival,1915,,,,P-03-348
656,,Frazee-Kurts Paint & Wallpaper,534-195-04,1045,Tenth Avenue,San Diego,92101,Centre City,Core,3/25/04,C (Architecture),,Spanish Eclectic,1928,,,,P-03-348
657,,Frank Sessions/Emmor Brooke Weaver House,443-483-03,4119,Lark Street,San Diego,92103,Uptown,Mission Hills,3/25/04,"B (Historical Person)C (Architecture)D (Master Architect/Builder)",,Craftsman,1911,Emmor Brooke Weaver,Frank Sessions,,
658,,Designation Overturned,,,,,,,,,,,,,,,,
659,,Designation Overturned,,,,,,,,,,,,,,,,
660,,Carnegie Apartments,534-323-03,950,Ninth Avenue,San Diego,92101,Centre City,Core,4/22/04,"C (Architecture)D (Master Architect/Builder)",,Renaissance Revival,1912,Quayle Brothers,,,P-03-348
661,,Amelia Apartments,534-332-04,901,Tenth Avenue,San Diego,92101,Centre City,Core,5/27/04,C (Architecture),,Italian Renaissance,1911,,,,
662,,C. Arnholt Smith Spec House #1,443-520-16,4030,Sunset Road,San Diego,92103,Uptown,Mission Hills,5/27/04,C (Architecture),,Tudor,1932,,,,
663,,Floyd and Margaret Hunter House,443-061-30,4381,Arista Drive,San Diego,92103,Uptown,Mission Hills,5/27/04,"A (Cultural Landscape); C (Architecture)",,Spanish Eclectic w/Pueblo influences,1924,,,,
664,,A.L. and Cleveland Dennstedt House,440-031-16,4372,Ridgeway Drive,San Diego,92116,Kensington-Talmadge,Kensington,5/27/04,C (Architecture),,Old English,1941,,,,
665,,San Diego Federal Savings & Loan,534-186-05,1027,Sixth Avenue,San Diego,92101,Centre City,Core,6/24/04,C (Architecture),,Art Deco,1938,,,,
666,,Not Assigned,,,,,,,,,,,,,,,,
667,,Theodore and Helen Fintzelberg House,450-301-08,2474,Locust Street,San Diego,92106,Peninsula,Point Loma,6/24/04,"A (Cultural Landscape); C (Architecture)",,Spanish Eclectic,1935,,,,
668,,Walter Casey House,465-241-22,4830,Hart Drive,San Diego,92116,Kensington-Talmadge,Kensington,6/24/04,"B (Historical Person)C (Architecture)",,Spanish Eclectic,1929,"Bathrick Brothers Construction Company, builder",,,
669,,Electric Laundry Company Building,535-166-18,1460,Island Avenue,San Diego,92101,Centre City,East Village,7/29/04,C (Architecture),,One Part Commercial bldg. w/an Oriental element.,1907,,,,
670,,Brookes Family House,452-401-19,3576,Third Avenue,San Diego,92103,Uptown,,7/29/04,"A (Cultural Landscape); C (Architecture)",,Eclectic Queen Ann Victorian,1891,,,,
671,,Mary Marston/Requa and Jackson House,452-133-01,1008,Cypress Avenue,San Diego,92103,Uptown,Marston Hills,7/29/04,"C (Architecture)D (Master Architect/Builder)",,California Ranch with Spanish Eclectic influences,1933,"Requa and Jackson, Master Architects, ",,,
672,,Dr. Clair Stealy House,443-282-03,1847,Altamira Place,San Diego,92103,Uptown,Mission Hills ,7/29/04,"B (Historical Person)C (Architecture)",,Craftsman,1913,,,,
673,,Marshall Cassidy House,443-401-08,4245,Witherby Street,San Diego,92103,Uptown,Mission Hills,7/29/04,C (Architecture),,Spanish Colonial Revival,1924,,,,
674,,Clarence & Gertrude Beatty/Wayne McAllister House,443-061-38,4356,Trias Street,San Diego,92103,Uptown,Mission Hills,7/29/04,"C (Architecture)D (Master Architect/Builder)",,"Tudor Eclectic, English Cottage subtype",1926,"Wayne McAllister, Master Architect",,,
675,,Helen Crenshaw/David O. Dryden House,438-150-30,4780,Panorama Drive,San Diego,92116,Greater North Park,University Heights,7/29/04,"C (Architecture)D (Master Architect/Builder)",,Craftsman,1914,"David O. Dryden, Master Builder",,,
676,,Dr. Edward Hardy House,453-282-10,3525, Wilshire Terrace,San Diego,92104,Greater North Park,North Park,8/26/04,B (Historical Person),,Ranch,1938,,,,
677,,Frank and Mary Burgar House,465-230-02,4218, Biona Place,San Diego,92116,Kensington-Talmadge,Kensington,8/26/04,C (Architecture),,Spanish Eclectic,1929,,,,
678,,William Scripps Kellogg House,346-511-01,7865, El Paseo Grande,San Diego,92037,La Jolla,La Jolla,8/26/04,"B (Historical Person)C (Architecture)",,Ranch,1938,,,,
679,,Violetta Horton/Cliff May Spec House #3,352-141-05,7477, Hillside Drive,San Diego,92037,La Jolla,La Jolla,8/26/04,"C (Architecture)D (Master Architect/Builder)",,Ranch ,1935,"Clifford May, Master Architect",,,
680,,"William and Grace Wahrenberger House",443-211-15,4277,Trias Street,San Diego,92103,Uptown,Mission Hills   ,8/26/04,"C (Architecture)D (Master Architect/Builder)",,Craftman,1917,"Wlliam F. Wahrenberger, Master Builder",,,
681,,Frances Herrick/ William Wahrenberger House,443-211-14,4285,Trias Street,San Diego,92103,Uptown,Mission Hills   ,8/26/04,"C (Architecture)D (Master Architect/Builder)",,Craftman,1913,"Wlliam F. Wahrenberger, Master Builder",,,
682,,Pickwick Hotel,"533-516-05 &533-516-06",102 - 150 ,Broadway,San Diego,92101,Centre City,Core,9/23/04,"A (Cultural Landscape)C (Architecture) D (Master Architect)",California Register 10/27/2006,Gothic Revival,1926,"Wilbur D. Peugh and O'Brien Brothers, Master Architects",,,
683,,San Diego City Library,534-323-02,820, E Street,San Diego,92101,Centre City,Core,9/23/04,"A (Cultural Landscape)C (Architecture) D (Master Architect)",,International Modern/Late Moderne,1954,Master Architect William Templeton Johnson,,,
684,,Vegetarian Cafeteria and Bakery,"534-181-03 &534-181-04",1125-1133 ,Sixth Avenue,San Diego,92101,Centre City,Core,9/23/04,"A (Cultural Landscape)C (Architecture)",,Art Deco,"19171934",,,,
685,,San Diego Athletic Club,534-055-04,1250,Sixth Avenue,San Diego,92101,Centre City,Core,9/23/04,"C (Architecture) D (Master Architect)",,Art Deco,1927-1928,Wheeler and Stevenson,,,
686,,George Jenks Spec House #1,443-250-09,2236, Fort Stockton Drive,San Diego,92103,Uptown,Mission Hills  ,9/23/04,C (Architecture),HRB# 822-46,Craftsman,1912,contractors Dillard & Smith,,,
687,,Edith Hawley House,452-652-06,2928,Second Avenue,San Diego,92103,Uptown,,9/23/04,C (Architecture),,Colonial Revival,1938,May qualify for future Mission Hills Historical District,,,
688,,R. W. Gillespie House,351-614-01,6425,Electric Avenue,San Diego,92037,La Jolla,La Jolla,9/23/04,C (Architecture),,Spanish Electic,1929,Bankers Hill area of Uptown,,,
689,,Lester Palmer /Herbert Mann-Thomas Shepherd House,352-352-21,6751,Muirlands Drive,San Diego,92037,La Jolla,La Jolla,9/23/04,"A (Cultural Landscape)C (Architecture) D (Master Architect)",,Spanish Eclectic,1927,Master Architects Herbert Mann and Thomas Shepherd ,,,
690,,Henry and Bethel Hoffman House,465-401-08,4552,E. Talmadge Drive,San Diego,92116,Kensington-Talmadge,Kensington,10/28/04,"A (Cultural Landscape)C (Architecture) ",,English Cottage/ Storybook,1928,,,,
691,,Viggo and Tommye Effenberger House,450-324-04,2628,Rosecrans Street,San Diego,92106,Peninsula,Point Loma,10/28/04,"A (Cultural Landscape)C (Architecture)E (National & State Listed)",,Spanish Eclectic,1940,,,,
692,,Florence Palmer House,351-221-09,360,Fern Glen,San Diego,92037,La Jolla,La Jolla,10/28/04,"A (Cultural Landscape)C (Architecture) ",,English Cottage,1929,,,,
693,,George and Ruth Glendon/Edgar Ullrich House,351-741-08,1006,Muirlands Drive,San Diego,92037,La Jolla,La Jolla,10/28/04,"C (Architecture)D (Master Architect/Builder)",,Spanish Eclectic,1928,Master Architect Edgar Ullrich,,,
694,,John and Emilie Wahrenberger/William Wahrenberger Spec House #1,443-211-16,4267,Trias Street,San Diego,92103,Uptown,Mission Hills ,11/18/04,"C (Architecture)D (Master Architect/Builder)",,Craftsman,1913,Master Builder William F. Wahrenberger,,,
695,,Bishop Theodore and Daisy Thurston House,443-593-04,3912,St. James Place,San Diego,92103,Uptown,Mission Hills ,11/18/04,C (Architecture),,Spanish Eclectic,1931,,,,
696, ,Horace and Della Shank House,443-250-05,2260,Ft. Stockton Drive,San Diego,92103,Uptown,Mission Hills ,11/18/04,C (Architecture),HRB# 822-51,Craftsman,1914,,,,
697,,Edwin and Rose Emerson/Hurlburt and Tifal House,453-691-01,2645,28th Street,San Diego,92104,Greater North Park,North Park,11/18/04,"C (Architecture)D (Master Architect/Builder)",,Spanish Eclectic,1924,Master Designer Ralph E. Hurlburt and Master Builder Charles H. Tifal,,,
698,,Albert Frost House,443-281-13,1895,Altamira Place,San Diego,92103,Uptown,Mission Hills ,11/18/04,"B (Historic Person)C (Architecture)",,Prairie,1916,,,,
699,,Etta and Lydia Schwieder/Requa and Jackson House,443-051-17,2344,Pine Street,San Diego,92103,Uptown,,11/18/04,"C (Architecture)D (Master Architect/Builder)",,Spanish Eclectic,1926,Master Architects Richard S. Requa and Herbert Jackson,,,
700,,National City & Otay Railroad Depot,535-344-06,200,Sixth Avenue,San Diego,92101,Centre City,East Village,1/27/05,"A (Cultural Landscape)D (Master Architect/Builder)F (Historical District)",,Mission Revival,1896,"Master ArchitectWilliam Sterling Hebbard",,,
701,,Maryland Hotel,534-326-03,612,F Street,San Diego,92101,Centre City,East Village,1/27/05,"C (Architecture)D (Master Architect/Builder)",,Neoclassical  style w/Italian Renaissance Revival elements,1914,"Master ArchitectWilliam Sterling Hebbard",,,
702,,Mansfield and Katherine Mills House,352-280-03,7105,Country Club Drive,San Diego,92037,La Jolla,La Jolla,3/24/05,"C (Architecture)D (Master Architect/Builder)",,Post and Beam Modern/Polynesian,1957,"Master Architect Dale Naegle",,,
703,,Frank and Mary Ricker House,443-250-01,4405,Trias Street,San Diego,92103,Uptown,,3/24/05,C (Architecture),HRB# 822-66,Prairie,1913,,,,
704,,Abel and Caroline Adams House,445-440-15,1236,Lincoln Avenue,San Diego,92103,Uptown,,3/24/05,"B (Historic Person)C (Architecture)",,Craftsman/Free Classic Queen Anne,1908,,,,
705,,Gertrude Evans / Emmor Brooke Weaver House,443-300-22,1506,Plumosa Way,San Diego,92103,Uptown,,4/28/05,"C (Architecture)D (Master Architect/Builder)",,Italian Renaissance Revival style,1920,Master Architect Emmor Brooke Weaver,Gertrude Evans,,
706,,Frank E. Melcher Spec House #1,443-450-15,1768,W. Arbor Drive,San Diego,92103,Uptown,,4/28/05,C (Architecture),,Spanish Eclectic style,1925,,,,
707,,T. D. Biller House,440-382-15,4119,Lymer Drive,San Diego,92116,Kensington-Talmadge,,4/28/05,C (Architecture),,Spanish Revival,"ca.1928-29",,,,
708,,"F.M. Sheppard Duplexand House Rentals","350-031-06350-031-08","1049-1051 1046 ","Coast Blvd.& Coast Blvd. South ",San Diego,92037,La Jolla,La Jolla,4/28/05,"A (Cultural Landscape)C (Architecture) ",,Crafstman/Shingle,1911,,,,
